#GENE,ENTREZ GENE ID,INHERITANCE,start_pos,end_pos
A2M,2,AD,,
A2ML1,144568,AD,,
A4GALT,53947,BG,,
AAAS,8086,AR,,
AAGAB,79719,AD,,
AARS1,16,AD/AR,,
AARS2,57505,AR,,
AASS,10157,AR,,
ABAT,18,AR,,
ABCA1,19,AD/AR,,
ABCA12,26154,AR,,
ABCA2,20,AR,,
ABCA3,21,AR,,
ABCA4,24,AD/AR,,
ABCA5,23461,AR,,
ABCB1,5243,AD,,
ABCB11,8647,AR,,
ABCB4,5244,AD/AR,,
ABCB6,10058,AD/BG,,
ABCB7,22,XL,,
ABCC1,4363,AD,,
ABCC11,85320,AD,,
ABCC2,1244,AD/AR,,
ABCC6,368,AD/AR/Digenic,,
ABCC8,6833,AD/AR,,
ABCC9,10060,AD/AR,,
ABCD1,215,XL,,
ABCD3,5825,AR,,
ABCD4,5826,AR,,
ABCG2,9429,BG,,
ABCG5,64240,AR,,
ABCG8,64241,AR,,
ABHD12,26090,AR,,
ABHD16A,7920,AR,,
ABHD5,51099,AR,,
ABL1,25,AD,,
ABO,28,BG,,
ACAD8,27034,AR,,
ACAD9,28976,AR,,
ACADM,34,AR,,
ACADS,35,AR,,
ACADSB,36,AR,,
ACADVL,37,AR,,
ACAN,176,AD,,
ACAT1,38,AR,,
ACBD5,91452,AR,,
ACD,65057,AD/AR,,
ACE,1636,AR,,
ACER3,55331,AR,,
ACHE,43,BG,,
ACKR1,2532,BG,,
ACKR3,57007,AR,,
ACO2,50,AR,,
ACOX1,51,AD,,
ACOX2,8309,AR,,
ACP4,93650,AR,,
ACP5,54,AR,,
ACR,49,AR,,
ACSF3,197322,AR,,
ACSL4,2182,XL,,
ACTA1,58,AD/AR,,
ACTA2,59,AD,,
ACTB,60,AD,,
ACTC1,70,AD,,
ACTG1,71,AD,,
ACTG2,72,AD,,
ACTL6B,51412,AD/AR,,
ACTL7A,10881,AR,,
ACTL9,284382,AR,,
ACTN1,87,AD,,
ACTN2,88,AD,,
ACTN3,89,AR,,
ACTN4,81,AD,,
ACVR1,90,AD,,
ACVR2B,93,AD,,
ACVRL1,94,AD,,
ACY1,95,AR,,
ADA,100,AR,,
ADA2,51816,AR,,
ADAM10,102,AD,,
ADAM17,6868,AR,,
ADAM22,53616,AR,,
ADAM9,8754,AR,,
ADAMTS10,81794,AR,,
ADAMTS13,11093,AR,,
ADAMTS15,170689,AR,,
ADAMTS17,170691,AR,,
ADAMTS18,170692,AR,,
ADAMTS19,171019,AR,,
ADAMTS2,9509,AR,,
ADAMTS3,9508,AR,,
ADAMTSL2,9719,AR,,
ADAMTSL4,54507,AR,,
ADAR,103,AD/AR,,
ADARB1,104,AR,,
ADAT3,113179,AR,,
ADCY1,107,AR,,
ADCY10,55811,AD,,
