gene symbol,disease name,MOI
ERLIN2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
LRPAP1,"EXTREME MYOPIA;MYOPIA 23, AUTOSOMAL RECESSIVE",AR
PRRT2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
DOCK8,HYPERIMMUNOGLOBULIN E RECURRENT INFECTION SYNDROME AUTOSOMAL RECESSIVE,AR
CSTA,"EXFOLIATIVE ICHTHYOSIS, AUTOSOMAL RECESSIVE, ICHTHYOSIS BULLOSA OF SIEMENS-LIKE",AR
SLC25A38,"ANEMIA, SIDEROBLASTIC, PYRIDOXINE-REFRACTORY, AUTOSOMAL RECESSIVE",AR
COL11A2,AUTOSOMAL RECESSIVE OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA,AR
ASCC3,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
ALDH18A1,"SPASTIC PARAPLEGIA 9, AUTOSOMAL DOMINANT",AD
PYCR1,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB",AR
NOP10,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1",AR
RABL6,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
FRY,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
DYNC1H1,"SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, AD",AD
ARL14EP,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
DVL1,AUTOSOMAL-DOMINANT ROBINOW SYNDROME,AD
CNKSR1,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
ROR2,"ROBINOW SYNDROME, AUTOSOMAL RECESSIVE 1",AR
KAT6A,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 32",AD
TRMT1,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
MYO7A,DEAFNESS AUTOSOMAL RECESSIVE TYPE 2,AR
ZFYVE26,SPASTIC PARAPLEGIA AUTOSOMAL RECESSIVE TYPE 15,AR
PARP1,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
DEAF1,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 24",AD
SCAPER,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
CDH23,DEAFNESS AUTOSOMAL RECESSIVE TYPE 12,AR
FLNB,AUTOSOMAL DOMINANT LARSEN SYNDROME,AD
PRSS12,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL RECESSIVE TYPE 1,AR
NSUN2,AUTOSOMAL- RECESSIVE INTELLECTUAL DISABILITY MRT5,AR
PRPS1,CHARCOT-MARIE-TOOTH DISEASE X-LINKED RECESSIVE TYPE 5,AR
PECR,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
MPDZ,"HYDROCEPHALUS, NONSYNDROMIC, AUTOSOMAL RECESSIVE 2",AR
WWOX,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12",AR
KLHL40,"NEMALINE MYOPATHY 8, AUTOSOMAL RECESSIVE",AR
TTN,Autosomal recessive titinopathy with arthrogryposis and/or myopathy ,AR
TREX1,"AICARDI-GOUTIERES SYNDROME 1, DOMINANT AND RECESSIVE",AD/AR
CDK5RAP2,PRIMARY AUTOSOMAL RECESSIVE MICROCEPHALY,AR
ASCL1,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
GJB3,DEAFNESS AUTOSOMAL DOMINANT TYPE 2B,AD
GRIK2,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL RECESSIVE TYPE 6,AR
LRP5,OSTEOPETROSIS AUTOSOMAL DOMINANT TYPE 1,AD
RTEL1,"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 4",AD
ASPM,PRIMARY AUTOSOMAL RECESSIVE MICROCEPHALY,AR
CHRNB2,"CHRNB2-RELATED NOCTURNAL FRONTAL LOBE EPILEPSY, AUTOSOMAL DOMINANT",AD
KIF11,AUTOSOMAL-DOMINANT MICROCEPHALY ASSOCIATED WITH LYMPHEDEMA AND/OR CHORIORETINOPATHY,AD
