GENE SYMBOL,MOI,start_pos,end_pos
A2ML1,AD,,
AARS2,AR,,
AASS,AR,,
ABAT,AR,,
ABCA4,AR,,
ABCB4,AR,,
ABCB7,XL,,
ABCC4,AR,,
ABCC8,AD,,
ABCC8,SD,,
ABCC9,AD,,
ABCD1,XL,,
ABCD3,AR,,
ABCD4,AR,,
ABCG5,AR,,
ABCG8,AR,,
ABHD12,AR,,
ABHD5,AR,,
ACAD8,AR,,
ACAD9,AR,,
ACADL,AR,,
ACADM,AR,,
ACADS,AR,,
ACADSB,AR,,
ACADVL,AR,,
ACAT1,AR,,
ACAT2,Undetermined,,
ACBD5,AR,,
ACOX1,AD,,
ACOX1,AR,,
ACOX2,AR,,
ACSF3,AR,,
ACSL4,XL,,
ACTA1,AR,,
ACTA1,AD,,
ACTA2,AD,,
ACTB,AD,,
ACTB,AD,,
ACTC1,AD,,
ACTC1,AD,,
ACTC1,AD,,
ACTG1,AD,,
ACTG1,AD,,
ACTL6A,AD,,
ACTN1,AD,,
ACTN2,AD,,
ACVR1,AD,,
ACVR1,AD,,
ACVRL1,AD,,
ACY1,AR,,
ADA,AR,,
ADA2,AR,,
ADAM17,AD,,
ADAM9,AR,,
ADAMTS13,AR,,
ADAMTS18,AR,,
ADAMTS9,AR,,
ADAR,AR,,
ADAR,AR,,
ADCY1,AR,,
ADD3,AR,,
ADGRG1,AR,,
ADGRV1,AR,,
ADGRV1,AR,,
ADK,AR,,
ADNP,AD,,
ADSL,AR,,
AFF2,XL,,
AGA,AR,,
AGK,AR,,
AGL,AR,,
AGO2,AD,,
AGPS,AR,,
AGTR2,XL,,
AGXT,AR,,
AHCY,AR,,
AHDC1,AD,,
AHI1,AR,,
AICDA,AR,,
AICDA,AD,,
AIFM1,XL,,
AIFM1,XL,,
AIPL1,AR,,
AK2,AR,,
AK7,AR,,
AK7,AR,,
AKAP9,AD,,
AKT3,AD,,
AKT3,AD,,
ALAD,AR,,
ALAS2,XL,,
ALDH18A1,SD,,
ALDH4A1,AR,,
ALDH5A1,AR,,
ALDH6A1,AR,,
ALDH7A1,AR,,
ALG11,AR,,
ALG12,AR,,
ALG13,XL,,
ALG2,AR,,
ALG3,AR,,
ALG6,AR,,
ALG8,AD,,
ALG9,AD,,
ALK,AD,,
ALMS1,AR,,
ALPK3,AR,,
ALPL,AD,,
ALPL,AR,,
ALPL,AD,,
ALPL,AR,,
ALS2,AR,,
ALX1,AR,,
ALX3,AR,,
AMACR,AR,,
AMT,AR,,
ANG,AD,,
ANGPTL3,AR,,
ANK1,AR,,
ANK1,AD,,
ANK2,AD,,
ANK2,AD,,
ANK2,AD,,
ANK2,AD,,
ANK3,AR,,
ANKRD1,AD,,
ANKRD1,AD,,
ANKRD11,AD,,
ANKRD17,AD,,
ANKRD26,AD,,
ANKS6,AR,,
ANO5,AR,,
ANO6,AR,,
ANOS1,XL,,
ANTXR2,AR,,
ANXA11,AD,,
AP1G1,AD,,
AP1G1,AR,,
AP1S1,AR,,
AP1S2,XL,,
AP3B1,AR,,
AP3D1,AR,,
AP4B1,AR,,
AP4E1,AR,,
AP4M1,AR,,
AP4S1,AR,,
AP5Z1,AR,,
APC,AD,,
APC,AD,,
APC2,AR,,
APOB,AD,,
APOB,SD,,
APOL1,AR,,
APPL1,AD,,
AQP1,AD,,
AQP5,AD,,
AR,XL,,
ARG1,AR,,
ARHGEF1,AR,,
ARHGEF10,AD,,
ARHGEF6,XL,,
ARHGEF9,XL,,
ARID1A,AD,,
ARID1B,AD,,
ARID2,AD,,
ARL13B,AR,,
ARL2BP,AR,,
ARL6IP1,AR,,
ARMC2,AR,,
ARMC9,AR,,
ARPC1B,AR,,
ARPP21,AD,,
ARSA,AR,,
ARSB,AR,,
ARSL,XL,,
ARX,XL,,
ARX,XL,,
ASAH1,AR,,
ASB10,AD,,
ASH1L,AD,,
ASL,AR,,
ASNS,AR,,
ASPA,AR,,
ASS1,AR,,
ASXL1,AD,,
ASXL2,AD,,
ASXL3,AD,,
ATCAY,AR,,
ATE1,AR,,
ATF6,AR,,
ATF6,AR,,
ATG5,AR,,
ATG7,AR,,
ATL1,AD,,
ATL3,AD,,
ATM,AD,,
ATM,AD,,
ATM,AD,,
ATM,AR,,
ATP13A2,AR,,
ATP13A3,SD,,
ATP1A1,AD,,
ATP1A3,AD,,
ATP5MK,AR,,
ATP6AP1,XL,,
ATP6AP2,XL,,
ATP6V1B1,AR,,
ATP7A,XL,,
ATP7A,XL,,
ATP7B,AR,,
ATRX,XL,,
ATXN2,AD,,
AUH,AR,,
AUTS2,AD,,
AVPR1A,Undetermined,,
AXIN2,AD,,
B4GALNT1,AR,,
B4GAT1,AR,,
B9D1,AR,,
B9D2,AR,,
BAAT,AR,,
BACH2,AD,,
BAG3,AD,,
BAG3,AD,,
BAP1,AD,,
BARD1,AD,,
BARD1,AD,,
BARD1,AD,,
BAZ2B,AD,,
BBS1,AR,,
BBS10,AR,,
BBS7,AR,,
BBS9,AR,,
BCAP31,XL,,
BCAT2,AR,,
BCKDHA,AR,,
BCKDHB,AR,,
BCKDK,AR,,
BCL10,AR,,
BCL11A,AD,,
BCL9,AD,,
BCOR,XL,,
BCS1L,AR,,
BCS1L,AR,,
BDP1,AR,,
BEST1,AD,,
BGN,AD,,
BIN1,SD,,
BLK,AD,,
BLM,AR,,
BLNK,AR,,
BLOC1S3,AR,,
BLOC1S6,AR,,
BMP10,AD,,
BMP10,AD,,
BMPR1A,AD,,
BMPR1A,Undetermined,,
BMPR1B,Undetermined,,
BMPR2,AD,,
BMPR2,AD,,
BPTF,AD,,
BRAF,AD,,
BRAF,AD,,
BRAF,AD,,
BRAF,AD,,
