gene symbol,disease name,MOI
COL11A2,AUTOSOMAL RECESSIVE OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA,AR
PYCR1,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIB",AR
DVL1,AUTOSOMAL-DOMINANT ROBINOW SYNDROME,AD
ROR2,"ROBINOW SYNDROME, AUTOSOMAL RECESSIVE 1",AR
FLNB,AUTOSOMAL DOMINANT LARSEN SYNDROME,AD
LRP5,OSTEOPETROSIS AUTOSOMAL DOMINANT TYPE 1,AD
CA2,OSTEOPETROSIS AUTOSOMAL RECESSIVE TYPE 3,AR
WNT5A,"WNT5A-RELATED ROBINOW SYNDROME, AUTOSOMAL DOMINANT",AD
GJA1,AUTOSOMAL RECESSIVE OCULODENTODIGITAL DYSPLASIA,AR
FBN1,WEILL-MARCHESANI SYNDROME AUTOSOMAL DOMINANT,AD
GJA1,AUTOSOMAL DOMINANT OCULODENTODIGITAL DYSPLASIA,AD
DVL3,AUTOSOMAL-DOMINANT ROBINOW SYNDROME,AD
MYH3,Recessive Spondylocarpotarsal Synostosis Syndrome,AR
MYO18B,"KLIPPEL-FEIL SYNDROME 4, AUTOSOMAL RECESSIVE, WITH NEMALINE MYOPATHY AND FACIAL DYSMORPHISM",AR
