Genomic Position Start,Genomic Position End,Gene/Locus And Other Related Symbols,Gene Name,Phenotypes,MOI
1,10800000,ASPG2,"Asperger syndrome, susceptibility to, 2","{Asperger syndrome susceptibility 2}, 608631 (2), Multifactorial, Isolated cases",
1,3400000,BCPR,Breast cancer-related regulator of TP53,Breast cancer (1),
1,10800000,"CTRCT24, CTAA2","Cataract 24, anterior polar","Cataract 24, anterior polar, 601202 (2), Autosomal dominant",AD
1,3400000,DDD3,Dowling-Degos disease 3,"Dowling-Degos disease 3, 615674 (2), Autosomal dominant",AD
1,3400000,"DUP17p13.3, C17DUPp13.3",Chromosome 17p13.3 duplication syndrome,"Chromosome 17p13.3 duplication syndrome, 613215 (4)",
1,3400000,"MDLS, MDS, MDCR, DEL17p13.3, C17DELp13.3",Miller-Dieker lissencephaly syndrome (chromosome 17p13.3 deletion syndrome),"Miller-Dieker lissencephaly syndrome, 247200 (4), Autosomal dominant",AD
1,10800000,NDNC7,"Nail disorder, nonsyndromic congenital, 7 (onychodysplasia, isolated congenital)","Nail disorder, nonsyndromic congenital, 7, 605779 (2), Autosomal dominant",AD
1,10800000,"SHFLD3, DUP17p13.3, C17DUPp13.3",Split-hand/foot malformation with long bone deficiency 3,"Split-hand/foot malformation with long bone deficiency 3, 612576 (4), Autosomal dominant",AD
1,10800000,SXGQTL1,Sex hormone-binding globulin circulating level quantitative trait locus 1,"[Sex hormone-binding globulin circulating level QTL 1], 613498 (2)",
142789,181650,DOC2B,"Double C2-like domain-containing protein, beta",,
212389,352807,"RPH3AL, NOC2",Rabphilin 3A-like,,
439978,445940,"RFLNB, FAM101B, CFM1",Refilin B,,
508668,714839,"VPS53, HCCS1, PCH2E",VPS53 subunit of GARP complex,"Pontocerebellar hypoplasia, type 2E, 615851 (3), Autosomal recessive",AR
732596,742968,"TLCD3A, FAM57A, CT120",TLC domain-containing protein 3A,,
744421,754410,"GEMIN4, NEDMCR","Neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities","Neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities, 617913 (3), Autosomal recessive",AR
759330,785895,"GLOD4, C17orf25",Glyoxalase domain-containing protein 4,,
782353,792509,"RNMTL1, HC90",RNA methyltransferase-like 1,,
799310,979776,"NXN, RRS2",Nucleoredoxin,"Robinow syndrome, autosomal recessive 2, 618529 (3), Autosomal recessive",AR
997129,1003671,"TIMM22, TIM22, COXPD43",Translocase of inner mitochondrial membrane 22,"?Combined oxidative phosphorylation deficiency 43, 618851 (3), Autosomal recessive",AR
1003519,1229722,ABR,ABR activator of RhoGEF and GTPase,,
1270444,1271815,"BHLHA9, BHLHF42, MSSD, CCSPD","Basic helix-loop-helix family, member A9","?Camptosynpolydactyly, complex, 607539 (3), Autosomal recessive; Syndactyly, mesoaxial synostotic, with phalangeal reduction, 609432 (3), Autosomal recessive",AR
1279662,1300978,"TUSC5, LOST1",Tumor suppressor candidate 5,,
1344275,1400222,"YWHAE, MDCR, MDS","Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon isoform",,
1420693,1456232,CRK,Avian sarcoma virus CT10 (v-crk) oncogene homolog,,
1464186,1492686,MYO1C,Myosin IC,,
1494577,1516612,"INPP5K, SKIP, MDCCAID",Inositol polyphosphate-5-phosphatase K,"Muscular dystrophy, congenital, with cataracts and intellectual disability, 617404 (3), Autosomal recessive",AR
1517718,1562792,"PITPNA, PITPN","Phosphotidylinositol transfer protein, alpha",,
1569254,1630088,"SLC43A2, LAT4","Solute carrier family 43 (L-type amino acid transporter, member 2)",,
1633858,1645732,"SCARF1, SREC, KIAA0149","Scavenger receptor class F, member 1",,
1646150,1649866,RILP,RAB-interacting lysosomal protein,,
1650629,1684867,"PRPF8, PRPC8, RP13",Pre-mRNA processing factor 8,"Retinitis pigmentosa 13, 600059 (3), Autosomal dominant",AD
1713903,1713987,"MIR22, MIRN22",Micro RNA 22,,
1716523,1738585,"WDR81, CAMRQ2, HYC3",WD repeat-containing protein 81,"Cerebellar ataxia, impaired intellectual development, and dysquilibrium syndrome 2, 610185 (3), Autosomal recessive; Hydrocephalus, congenital, 3, with brain anomalies, 617967 (3), Autosomal recessive",AR
1742871,1755265,"PLI, SERPINF2",Alpha-2-plasmin inhibitor,"Alpha-2-plasmin inhibitor deficiency, 262850 (3), Autosomal recessive",AR
